neighbourhood;index_19;b0;b1;b2;b3;yhat;res
Barking and Dagenham;135.1507487;13711.96981;-0.075219704;-0.085777792;-23392.14707;126.4175082;8.733240541
Barnet;111.5490496;13206.38995;0.015770431;-0.040211174;-22539.08132;114.448743;-2.89969337
Bexley;129.2625706;13266.78327;-0.03761899;-0.046956542;-22634.45023;133.5543061;-4.291735456
Brent;112.0358846;13171.6504;0.000868525;-0.044716336;-22477.61828;114.4184041;-2.382519508
Bromley;116.4677855;12556.32643;0.029735228;0.008964489;-21425.08269;121.5377193;-5.069933794
Camden;115.6632988;13540.51032;0.009281658;-0.061151732;-23109.64448;103.1577618;12.505537
City of London;96.52156596;13881.30469;-0.000396654;-0.074225086;-23692.41308;99.76330725;-3.241741292
Croydon;126.6796408;12620.60851;0.025585895;-0.01276115;-21532.36364;124.8902623;1.789378497
Ealing;115.3276027;13076.81774;-0.014325922;-0.039709827;-22314.02029;115.7566054;-0.429002659
Enfield;122.7759393;13601.43637;-0.028889004;-0.058468174;-23212.30377;122.7000472;0.075892059
Greenwich;125.3155238;13311.25358;-0.026886286;-0.055677575;-22710.27133;119.0680402;6.247483602
Hackney;118.4043134;13769.61187;-0.021666442;-0.073713823;-23498.59978;115.8654349;2.538878497
Hammersmith and Fulham;99.02910963;13408.17512;-0.014804869;-0.063594611;-22879.9862;108.0327382;-9.003628556
Haringey;120.7154568;13570.58367;-0.007523567;-0.060861412;-23159.96743;121.717885;-1.002428224
Harrow;114.1771404;13009.56307;0.003650317;-0.031363538;-22201.30865;117.7952293;-3.618088851
Havering;132.3934292;13746.81843;-0.087664478;-0.084791233;-23451.52818;130.5922756;1.801153597
Hillingdon;120.550187;12896.32229;-0.014817922;-0.026718649;-22005.54847;120.7044896;-0.154302622
Hounslow;118.5315195;13017.34898;-0.03027413;-0.036189606;-22210.69569;114.6617917;3.86972783
Islington;102.1026525;13678.85333;-0.002096777;-0.066570831;-23345.56004;106.3830598;-4.28040732
Kensington and Chelsea;97.11278292;13542.36973;-0.009154527;-0.067677615;-23110.78396;98.97584109;-1.863058174
Kingston upon Thames;117.8007122;12995.41332;-0.03406602;-0.036303136;-22171.36829;116.4649425;1.335769718
Lambeth;115.5948734;13524.61964;0.002218045;-0.067275397;-23079.12385;110.941783;4.653090433
Lewisham;120.7539634;13132.78479;0.013322999;-0.0458914;-22407.49142;123.091816;-2.3378526
Merton;118.9002175;13180.48304;-0.019504455;-0.045006427;-22489.2505;112.2084529;6.691764645
Newham;129.1131954;13681.64912;-0.051538052;-0.088799162;-23341.12943;117.9085486;11.20464678
Redbridge;127.6635153;13816.55725;-0.073748869;-0.086919201;-23572.79357;125.760103;1.903412278
Richmond upon Thames;110.8538248;13108.47916;-0.03725911;-0.041293918;-22365.947;107.3033332;3.550491572
Southwark;111.7329398;13488.76722;0.00265888;-0.072322662;-23016.19586;110.8885919;0.84434792
Sutton;121.456582;12855.30752;-0.003646398;-0.028397756;-21932.60561;122.7811128;-1.324530841
Tower Hamlets;105.9086396;13702.67656;-0.022248485;-0.081520961;-23381.09257;114.6034051;-8.694765532
Waltham Forest;123.627353;13833.99115;-0.055168198;-0.079202723;-23606.19387;127.4451584;-3.817805444
Wandsworth;105.6575037;13518.98291;-0.022709443;-0.060865818;-23069.85898;108.3005237;-2.643020001
Westminster;97.11850385;13659.8163;0.000521777;-0.071805901;-23312.64395;98.59459168;-1.476087833
